Empresa;v1;v2;v3;v4;v5;v6;v7;v8
C1      ;4;1;2;2;2;4;1;3
C2      ;4;1;2;2;2;4;1;3
C3      ;2;2;1;3;1;3;2;4
C4      ;5;4;3;3;3;5;2;4
C5      ;4;2;3;3;1;3;2;4
C6      ;4;2;2;3;3;4;2;4
C7      ;5;3;3;4;5;5;4;5
C8      ;2;1;1;4;6;3;5;5
C9      ;3;2;1;3;3;5;2;4
C10     ;4;2;2;3;1;3;2;4
C11     ;3;2;1;3;1;3;2;4
C12     ;3;2;1;3;2;4;6;4
C13     ;3;3;1;4;2;4;3;5
C14     ;3;3;1;4;2;4;3;5
C15     ;5;3;3;4;1;3;3;5
C16     ;3;1;1;2;2;4;1;3
C17     ;3;3;1;4;2;4;3;5
C18     ;5;2;3;3;3;5;2;4
C19     ;3;3;1;4;1;3;3;5
C20     ;3;2;1;3;3;5;2;4
C21     ;3;2;1;2;3;5;3;2
C22     ;4;3;2;3;2;3;2;3
C23     ;4;5;2;4;1;3;3;5
C24     ;4;3;2;4;3;5;3;5
C25     ;4;2;2;3;2;4;2;4
C26     ;4;3;2;4;3;5;3;5
C27     ;5;3;3;4;2;4;3;5
C28     ;5;3;3;4;2;4;3;5
C29     ;4;3;2;4;2;4;3;5
C30     ;5;3;3;4;2;4;3;5
